Week,Date,Phase,Pillar,Hook / Topic,Carousel Headline,Carousel Slides Summary,Reel Concept,Platforms,Status,Notes
1,,1 - RENTUJEMY only,Operator truth,Guest calls at 2am,Why I stopped answering guest calls at 2am,"1. I used to answer every call. 2. 300 properties = 300 emergencies that aren't emergencies. 3. 80% of calls are the same 5 questions. 4. We built a system to handle them. 5. Response time went up. Stress went down. 6. The remaining 20% get a human who is actually focused.",Tell the story — the moment you decided to stop picking up. What happened. What RENTUJEMY built instead. No product mention.,IG + LinkedIn,Idea,
2,,1 - RENTUJEMY only,Operator systems,Why operators drown at 30 properties,Why most STR operators will never scale past 30 properties,"1. Below 10 properties: you manage everything yourself. It works. 2. At 20–30: the cracks appear. Too many messages, too many calls, too many owner reports. 3. Most operators hire more people. Wrong answer. 4. More people = more coordination = more problems. 5. The operators who scale build systems first. 6. People execute systems. They don't replace them. CLOSER: RENTUJEMY runs 300. Systems run the business. People handle the exceptions.",Film at desk or walking. Scaling is a systems problem not a headcount problem. Close with RENTUJEMY numbers — no product CTA.,IG + LinkedIn,Idea,
3,,1 - RENTUJEMY only,Operator truth,Reviews are a comms problem,Why your Airbnb reviews are a customer service problem — not a property problem,"1. Most operators obsess over the apartment. New pillows. Better coffee. 2. Guests leave bad reviews for one reason: they felt ignored. 3. A slow reply at check-in = 4 stars. 4. A fast reply to a problem = 5 stars even when things go wrong. 5. Your property is fine. Your response time probably isn't. 6. We measured this across 300 RENTUJEMY properties.","Short reel — one stat. We analysed 300 properties. The #1 predictor of a 5-star review wasn't the apartment. It was response time under 10 minutes.",IG + LinkedIn,Idea,
4,,1 - RENTUJEMY only,Lifestyle / systems,Built to run from anywhere,Why I run a 300-property operation and can still disappear for a week,"1. Most operators are trapped by their own business. 2. If you have to be online to keep things running — you built a job not a business. 3. I wanted to train BJJ every day and climb mountains without my phone going off. 4. That forced us to document and automate everything at RENTUJEMY. 5. Not because I was lazy — because I had a deadline. 6. The mountain doesn't wait.",Film outdoors. Constraint drives systems. The best thing that happened to RENTUJEMY was Adrian wanting to disappear for a week.,IG + LinkedIn,Idea,First lifestyle-angle carousel — no product mention
5,,1 - RENTUJEMY only,Operator systems,How we onboard a new property at RENTUJEMY,How we onboard a new property in under 48 hours,"1. Most operators take weeks to onboard a new property. We do it in 48 hours. 2. Step 1: listing sync. 3. Step 2: cleaning schedule and team assignment. 4. Step 3: guest comms templates activated. 5. Step 4: owner portal live. 6. Every step is documented. No one improvises. 7. The system runs the onboarding. We just check the output.",Walk through the actual RENTUJEMY onboarding checklist on camera. Specific = credible. No product mention.,IG + LinkedIn,Idea,Process deep-dive — high value for other operators
6,,1 - RENTUJEMY only,Operator truth,What owners actually want,What property owners actually care about (it's not what you think),"1. New operators think owners care about occupancy. 2. They don't. They care about one number: their payout. 3. And when it arrives. And whether the statement is clear. 4. Everything else is noise unless something goes wrong. 5. When something goes wrong — they want to know before they ask. 6. Proactive communication beats perfect performance every time.",Reel: sit down and talk through the owner relationship. What RENTUJEMY learned managing on behalf of 300 property owners.,IG + LinkedIn,Idea,
7,,1 - RENTUJEMY only,Lifestyle / BJJ,BJJ and systems thinking,Why I train BJJ every day and it makes me a better operator,"1. BJJ has one rule: position before submission. Secure your base before you attack. 2. Operations works the same way. Fix the system before you hire more people. 3. In BJJ you lose to people smaller than you if your fundamentals are wrong. In business too. 4. Training every day forces you to protect your time. 5. That forces you to build systems for everything else. 6. The mat is where I think clearest.",Film at the gym or after training. Raw and honest. Connect the discipline of BJJ to the discipline of building operational systems.,IG + LinkedIn,Idea,High personal engagement expected
8,,1 - RENTUJEMY only,Operator truth,What 300 properties taught me about guests,What managing 300 Airbnbs taught me about people,"1. Guests who complain the loudest become the best reviewers — if you resolve it fast. 2. Most check-in problems happen in the last 2 hours before arrival. 3. The question guests ask most is not about the apartment — it's about parking. 4. Owners care about one number: their payout. Everything else is noise. 5. Automated messages get better response rates than personal ones — if timed right. 6. The best guest experience is one where the guest forgets you exist.",Reel: rapid fire — 5 things 300 properties taught me about guests. Fast cuts. High energy.,IG + LinkedIn,Idea,
,,,,,,,,,,
,,2 - Introduce Enhanced Rentals,,PHASE 2 NOTE: Once operator credibility is established (approx week 8+) introduce Enhanced Rentals as the tool built to run RENTUJEMY. First mention: a carousel titled Why we turned our internal system into a product anyone can use.,,,,,,
